Unnamed: 0,HOUSEID_x,PERSONID_x,R_AGE,R_HISP,R_SEX,R_RACE,WRKFHM,HHSIZE,HHVEHCNT,HHFAMINC,URBANSIZE,URBRUR,uni_Per_ID,YOUNGCHILD,Highschool,EDU_College,HM_OWN,NONHISWHITE,Race_Black,Race_Asian,Race_White,weekday,DRVRCNT,Total_TT,Total_AT,AT_ReguHMact,TT_ReguHMact,ReguHMact,AT_WorkFromHM,TT_WorkFromHM,WorkFromHM,AT_WorkNonHM,TT_WorkNonHM,WorkNonHM,AT_School,TT_School,School,AT_Shopping,TT_Shopping,Shopping,AT_Social1,TT_Social1,Social1,AT_Social2,TT_Social2,Social2,AT_Social3,TT_Social3,Social3,AT_Social4,TT_Social4,Social4,AT_Personal_self,TT_Personal_self,Personal_self,AT_Personal_meal,TT_Personal_meal,Personal_meal,AT_Family_business,TT_Family_business,Family_business,AT_Pick_Drop,TT_Pick_Drop,Pick_Drop,HW_TIME,ln_School,ln_Shopping,ln_Social1,ln_Social2,ln_Social3,ln_Social4,ln_Personal_self,ln_Personal_meal,ln_Family_business,ln_Pick_Drop,genZ,Millennials,genX,boomers2,prepan
2672,9000116050,1,71.0,0.0,1.0,2.0,0,5,3,112.5,0,0,9000116050_1,0,1,0,1,0,1,0.0,0.0,0,3,75,165,0,30,30,0,0,0,0,0,0,0,0,0,150,30,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,30,1230,0.0,0.0593140012159819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104654336781649,0,0,0,0,0
4097,9000170823,2,36.0,1.0,0.0,97.0,0,3,2,87.5,0,1,9000170823_2,1,1,0,1,0,0,0.0,0.0,1,2,107,828,255,50,305,0,0,0,0,0,0,390,20,410,0,0,0,0,0,0,168,32,200,0,0,0,0,0,0,0,0,0,0,0,0,15,5,20,0,0,0,810,0.1778748117960985,0.0,0.0,0.0958363549039928,0.0,0.0,0.0,0.0,0.0105930734974242,0.0,0,1,0,0,0
1857,9000088545,1,58.0,0.0,0.0,1.0,0,2,3,62.5,0,1,9000088545_1,0,1,1,1,1,0,0.0,1.0,0,2,60,270,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,270,30,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,0.0,0.0,0.101457640758777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
769,9000050805,2,62.0,0.0,1.0,1.0,1,2,2,137.5,1,1,9000050805_2,0,1,1,1,1,0,0.0,1.0,1,2,120,710,90,70,160,0,0,0,500,40,540,0,0,0,0,0,0,0,0,0,50,5,55,0,0,0,70,5,75,0,0,0,0,0,0,0,0,0,0,0,0,770,0.0,0.0,0.0,0.0299632233774432,0.0,0.0403659837772104,0.0,0.0,0.0,0.0,0,0,0,1,0
2846,9000125428,1,67.0,0.0,0.0,1.0,1,1,1,87.5,0,1,9000125428_1,0,1,1,0,1,0,0.0,1.0,1,1,120,540,0,30,30,260,25,285,265,50,315,0,0,0,15,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1095,0.0,0.0117384032712441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
2293,9000105294,2,24.0,1.0,0.0,97.0,0,2,0,62.5,1,1,9000105294_2,0,1,0,0,0,0,0.0,0.0,1,0,75,25,0,10,10,0,0,0,0,0,0,0,0,0,25,5,30,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350,0.0,0.0095453179062303,0.0,0.0188853441603738,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
2000,9000096024,1,34.0,0.0,1.0,1.0,0,2,2,12.5,0,1,9000096024_1,0,1,0,0,1,0,0.0,1.0,1,2,20,455,0,10,10,0,0,0,455,10,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
2625,9000115415,2,51.0,0.0,1.0,1.0,1,3,2,250.0,0,1,9000115415_2,0,1,1,1,1,0,0.0,1.0,0,2,35,50,0,10,10,0,0,0,0,0,0,0,0,0,35,10,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,30,1365,0.0,0.0140864612786051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0094415562328414,0,0,1,0,0
4078,9000170593,1,72.0,0.0,0.0,1.0,1,1,1,137.5,0,1,9000170593_1,0,1,1,1,1,0,0.0,1.0,1,1,90,100,0,40,40,0,0,0,15,25,40,0,0,0,5,10,15,0,0,0,80,15,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,0.0,0.0050208013750508,0.0,0.0308600631012183,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2665,9000115950,2,59.0,0.0,1.0,1.0,0,2,2,62.5,0,1,9000115950_2,0,1,1,1,1,0,0.0,1.0,1,2,40,770,35,20,55,0,0,0,605,15,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,5,135,0,0,0,0,0,0,0,0,0,0,0,0,685,0.0,0.0,0.0,0.0,0.0,0.0781232808912911,0.0,0.0,0.0,0.0,0,0,0,1,0
