HOUSEID_x,PERSONID_x,R_AGE,R_HISP,R_SEX,R_RACE,WKFMHM22,HHSIZE,HHVEHCNT,HHFAMINC,URBANSIZE,URBRUR,uni_Per_ID,YOUNGCHILD,Highschool,EDU_College,HM_OWN,NONHISWHITE,Race_Black,Race_Asian,Race_White,weekday,DRVRCNT,Total_TT,Total_AT,AT_ReguHMact,TT_ReguHMact,ReguHMact,AT_WorkFromHM,TT_WorkFromHM,WorkFromHM,AT_WorkNonHM,TT_WorkNonHM,WorkNonHM,AT_School,TT_School,School,AT_Shopping,TT_Shopping,Shopping,AT_Social1,TT_Social1,Social1,AT_Social2,TT_Social2,Social2,AT_Social3,TT_Social3,Social3,AT_Social4,TT_Social4,Social4,AT_Personal_self,TT_Personal_self,Personal_self,AT_Personal_meal,TT_Personal_meal,Personal_meal,AT_Family_business,TT_Family_business,Family_business,AT_Pick_Drop,TT_Pick_Drop,Pick_Drop,HW_TIME
9000013594,1,56,0,1.0,1,0,2,3,175.0,0,1,9000013594_1,0,1,0,1,1,0,0,1,1,2,35,610,0,15,15,0,0,0,610,20,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810
9000013594,2,58,0,0.0,1,0,2,3,175.0,0,1,9000013594_2,0,1,0,1,1,0,0,1,1,2,15,95,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,10,105,0,0,0,1335
9000013613,1,27,0,1.0,1,1,1,1,62.5,1,1,9000013613_1,0,1,1,1,1,0,0,1,1,1,101,194,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,54,248,0,0,0,0,0,0,0,0,0,0,0,0,1192
9000013626,1,59,0,0.0,1,1,2,2,175.0,1,1,9000013626_1,0,1,1,1,1,0,0,1,0,2,225,375,110,130,240,0,0,0,0,0,0,0,0,0,0,0,0,255,75,330,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,20,0,0,0,1080
9000013657,1,31,0,1.0,1,0,2,2,62.5,0,1,9000013657_1,0,1,1,0,1,0,0,1,1,2,120,585,0,25,25,395,25,420,185,55,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,20,0,0,0,0,0,0,1180
9000013657,2,34,0,0.0,1,0,2,2,62.5,0,1,9000013657_2,0,1,1,0,1,0,0,1,1,2,80,580,375,40,415,0,0,0,200,25,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,20,0,0,0,0,0,0,1195
9000013707,1,33,0,1.0,1,0,1,1,62.5,1,1,9000013707_1,0,1,1,0,1,0,0,1,1,1,50,510,0,20,20,0,0,0,0,0,0,0,0,0,215,25,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,5,300,0,0,0,900
9000013812,1,65,0,0.0,1,0,4,4,175.0,1,1,9000013812_1,0,1,0,1,1,0,0,1,1,4,85,665,0,45,45,0,0,0,665,40,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735
9000013812,3,26,0,0.0,1,0,4,4,175.0,1,1,9000013812_3,0,1,1,1,1,0,0,1,1,4,105,420,0,60,60,0,0,0,420,45,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,975
9000013812,4,23,0,1.0,1,0,4,4,175.0,1,1,9000013812_4,0,1,1,1,1,0,0,1,1,4,40,505,0,20,20,0,0,0,505,20,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915
9000013828,1,58,1,1.0,1,1,3,2,62.5,1,1,9000013828_1,0,1,0,1,0,0,0,1,1,2,80,280,0,30,30,0,0,0,0,0,0,0,0,0,15,30,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,20,285,1110
9000013828,2,55,1,0.0,1,0,3,2,62.5,1,1,9000013828_2,0,1,0,1,0,0,0,1,1,2,60,300,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,30,330,0,0,0,0,0,0,0,0,0,1110
9000013828,3,28,1,1.0,1,1,3,2,62.5,1,1,9000013828_3,0,1,1,1,0,0,0,1,1,2,63,240,0,3,3,0,0,0,150,30,180,0,0,0,90,30,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
9000013847,1,39,0,0.0,3,0,2,1,112.5,0,1,9000013847_1,0,1,1,1,0,0,1,0,1,1,95,480,0,10,10,0,0,0,470,35,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,50,60,875
9000013856,1,56,0,0.0,2,0,1,0,20.0,1,1,9000013856_1,0,1,0,0,0,1,0,0,1,0,60,540,0,30,30,540,30,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
9000013868,1,37,0,0.0,1,1,1,0,62.5,1,1,9000013868_1,0,1,0,0,1,0,0,1,0,0,15,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1425
9000013889,1,47,0,0.0,1,1,5,2,250.0,1,1,9000013889_1,0,1,1,1,1,0,0,1,1,2,11,4,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,0,0,0,0,0,0,1430
9000013889,2,48,0,1.0,1,0,5,2,250.0,1,1,9000013889_2,0,1,1,1,1,0,0,1,1,2,9,336,0,5,5,0,0,0,336,4,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100
9000013896,1,51,0,0.0,3,1,4,3,250.0,0,0,9000013896_1,1,1,1,1,0,0,1,0,1,2,65,470,0,15,15,465,15,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,25,0,15,15,1400
9000013906,1,62,0,1.0,3,1,1,0,112.5,1,1,9000013906_1,0,1,1,1,0,0,1,0,1,0,110,490,0,60,60,490,50,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
9000013936,1,59,0,0.0,1,0,1,2,62.5,0,0,9000013936_1,0,1,0,1,1,0,0,1,1,1,127,173,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,60,180,0,0,0,53,7,60,0,0,0,1200
9000013953,1,29,0,1.0,1,0,2,1,30.0,0,1,9000013953_1,0,1,0,0,1,0,0,1,1,1,25,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
9000013982,1,53,0,0.0,1,0,2,2,87.5,0,1,9000013982_1,1,1,0,1,1,0,0,1,0,1,30,40,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10,50,0,0,0,0,0,0,1390
9000013986,1,36,0,0.0,1,0,5,2,20.0,0,1,9000013986_1,2,1,0,0,1,0,0,1,0,2,30,85,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,20,105,0,0,0,0,0,0,1335
9000014037,1,54,0,1.0,1,0,2,2,42.5,0,0,9000014037_1,0,1,0,1,1,0,0,1,0,1,100,435,0,50,50,0,0,0,435,50,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955
9000014050,1,53,0,0.0,1,0,2,3,87.5,0,0,9000014050_1,0,1,1,1,1,0,0,1,1,2,175,125,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,100,180,0,0,0,45,35,80,0,0,0,0,0,0,1180
9000014050,2,55,0,1.0,1,0,2,3,87.5,0,0,9000014050_2,0,1,0,1,1,0,0,1,1,2,175,125,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,100,180,0,0,0,45,35,80,0,0,0,0,0,0,1180
9000014086,1,65,0,0.0,1,1,1,1,42.5,0,1,9000014086_1,0,1,1,1,1,0,0,1,1,1,40,355,175,20,195,0,0,0,175,5,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,20,0,0,0,1240
9000014090,2,64,0,1.0,1,1,2,1,112.5,1,1,9000014090_2,0,1,0,0,1,0,0,1,0,2,60,100,0,20,20,0,0,0,0,0,0,0,0,0,90,30,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,20,0,0,0,0,0,0,1300
9000014092,1,44,0,0.0,1,1,2,2,87.5,0,1,9000014092_1,0,1,0,0,1,0,0,1,1,2,155,565,0,0,0,415,100,515,60,45,105,0,0,0,0,0,0,0,0,0,90,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1235
9000014092,2,52,0,1.0,1,0,2,2,87.5,0,1,9000014092_2,0,1,1,0,1,0,0,1,1,2,65,760,0,15,15,0,0,0,640,20,660,0,0,0,0,0,0,0,0,0,120,30,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630
9000014119,1,60,0,1.0,1,0,2,2,112.5,0,1,9000014119_1,0,1,0,1,1,0,0,1,1,2,10,415,0,5,5,0,0,0,415,5,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020
9000014119,2,61,0,0.0,1,0,2,2,112.5,0,1,9000014119_2,0,1,0,1,1,0,0,1,1,2,25,275,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,220,5,225,0,0,0,0,0,0,0,0,0,0,0,0,55,10,65,0,0,0,0,0,0,1150
9000014136,1,53,0,1.0,2,0,3,2,62.5,1,1,9000014136_1,0,1,0,1,0,1,0,0,1,2,38,562,0,20,20,0,0,0,562,18,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860
9000014136,2,59,0,0.0,2,0,3,2,62.5,1,1,9000014136_2,0,1,0,1,0,1,0,0,1,2,40,530,0,30,30,0,0,0,530,10,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900
9000014137,1,67,0,0.0,1,0,2,2,62.5,0,0,9000014137_1,0,1,1,1,1,0,0,1,1,2,30,375,0,15,15,0,0,0,375,15,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050
9000014137,2,39,0,0.0,1,0,2,2,62.5,0,0,9000014137_2,0,1,1,1,1,0,0,1,1,2,30,600,0,15,15,0,0,0,600,15,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825
9000014147,1,63,0,0.0,1,1,2,2,112.5,0,1,9000014147_1,0,1,0,1,1,0,0,1,1,2,20,545,0,10,10,0,0,0,545,10,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,885
