,HOUSEID_x,PERSONID_x,R_AGE,R_HISP,R_SEX,R_RACE,WKFMHM22,HHSIZE,HHVEHCNT,HHFAMINC,URBANSIZE,URBRUR,uni_Per_ID,YOUNGCHILD,Highschool,EDU_College,HM_OWN,NONHISWHITE,Race_Black,Race_Asian,Race_White,weekday,DRVRCNT,Total_TT,Total_AT,AT_ReguHMact,TT_ReguHMact,ReguHMact,AT_WorkFromHM,TT_WorkFromHM,WorkFromHM,AT_WorkNonHM,TT_WorkNonHM,WorkNonHM,AT_School,TT_School,School,AT_Shopping,TT_Shopping,Shopping,AT_Social1,TT_Social1,Social1,AT_Social2,TT_Social2,Social2,AT_Social3,TT_Social3,Social3,AT_Social4,TT_Social4,Social4,AT_Personal_self,TT_Personal_self,Personal_self,AT_Personal_meal,TT_Personal_meal,Personal_meal,AT_Family_business,TT_Family_business,Family_business,AT_Pick_Drop,TT_Pick_Drop,Pick_Drop,HW_TIME,ln_School,ln_Shopping,ln_Social1,ln_Social2,ln_Social3,ln_Social4,ln_Personal_self,ln_Personal_meal,ln_Family_business,ln_Pick_Drop,genZ,Millennials,genX,boomers2
1579,9000076371,1,44,0,0.0,3,1,4,2,175.0,1,1,9000076371_1,0,1,1,1,0,0,1,0,1,2,115,640,110,40,150,455,15,470,0,0,0,0,0,0,0,0,0,0,0,0,45,20,65,0,0,0,25,10,35,0,0,0,0,0,0,0,0,0,5,30,35,1305,0.0,0.0,0.0,0.0211100554821069,0.0,0.0114942866905078,0.0,0.0,0.0,0.0114942866905078,0,0,1,0
2513,9000113718,2,26,1,1.0,3,0,2,2,62.5,1,1,9000113718_2,0,1,1,0,0,0,1,0,0,2,30,390,0,15,15,0,0,0,390,15,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
4615,9000211537,5,25,0,0.0,1,0,9,4,137.5,0,1,9000211537_5,2,1,0,1,1,0,0,1,1,4,40,55,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,20,75,1365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0232298407184748,1,0,0,0
703,9000049647,1,55,0,1.0,1,1,1,3,137.5,0,1,9000049647_1,0,1,1,1,1,0,0,1,0,1,14,16,0,8,8,0,0,0,0,0,0,0,0,0,16,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1418,0.0,0.0066862612482019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
4843,9000215440,1,56,0,0.0,1,1,2,2,250.0,0,1,9000215440_1,0,1,1,1,1,0,0,1,1,2,50,65,0,10,10,0,0,0,0,0,0,0,0,0,50,20,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,35,0,0,0,1335,0.0,0.0221950585405046,0.0,0.0,0.0,0.0,0.0,0.0,0.0112393014558127,0.0,0,0,1,0
301,9000017342,1,29,0,1.0,1,1,4,2,87.5,0,0,9000017342_1,1,1,0,0,1,0,0,1,1,2,4,118,0,2,2,0,0,0,118,2,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
3180,9000145551,2,46,0,0.0,1,0,3,2,62.5,0,0,9000145551_2,0,1,0,1,1,0,0,1,1,2,30,525,0,15,15,0,0,0,525,15,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
4085,9000170629,1,77,0,1.0,1,0,2,1,62.5,0,1,9000170629_1,0,1,1,1,1,0,0,1,0,2,60,500,120,35,155,0,0,0,310,20,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,5,75,0,0,0,0,0,0,1035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0303826289937209,0.0,0.0,0,0,0,0
560,9000047762,1,67,0,1.0,1,0,1,1,62.5,0,1,9000047762_1,0,1,0,1,1,0,0,1,1,1,40,610,0,20,20,0,0,0,610,20,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
1837,9000088313,1,44,0,1.0,1,0,6,1,30.0,0,1,9000088313_1,0,0,0,0,1,0,0,1,1,2,45,710,110,25,135,0,0,0,600,15,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026400961662084,0,0,1,0
