,HOUSEID_x,PERSONID_x,R_AGE,R_HISP,R_SEX,R_RACE,WKRMHM,HHSIZE,HHVEHCNT,HHFAMINC,URBANSIZE,URBRUR,uni_Per_ID,YOUNGCHILD,Highschool,EDU_College,HM_OWN,NONHISWHITE,Race_Black,Race_Asian,Race_White,weekday,DRVRCNT,Total_TT,Total_AT,AT_ReguHMact,TT_ReguHMact,ReguHMact,AT_WorkFromHM,TT_WorkFromHM,WorkFromHM,AT_WorkNonHM,TT_WorkNonHM,WorkNonHM,AT_School,TT_School,School,AT_Shopping,TT_Shopping,Shopping,AT_Social1,TT_Social1,Social1,AT_Social2,TT_Social2,Social2,AT_Social3,TT_Social3,Social3,AT_Social4,TT_Social4,Social4,AT_Personal_self,TT_Personal_self,Personal_self,AT_Personal_meal,TT_Personal_meal,Personal_meal,AT_Family_business,TT_Family_business,Family_business,AT_Pick_Drop,TT_Pick_Drop,Pick_Drop,HW_TIME,ln_School,ln_Shopping,ln_Social1,ln_Social2,ln_Social3,ln_Social4,ln_Personal_self,ln_Personal_meal,ln_Family_business,ln_Pick_Drop,genZ,Millennials,genX,boomers2
78379,40602309,1,58.0,0.0,1.0,1.0,0,1,1,87.5,0,1,40602309_1,0,1,1,1,1,0,0.0,1.0,1,1,90,705,0,15,15,0,0,0,645,45,690,0,0,0,0,0,0,0,0,0,60,30,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,0.0,0.0,0.0,0.0555173278498313,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
23317,30272805,2,32.0,0.0,0.0,1.0,0,3,1,7.5,0,1,30272805_2,0,1,0,0,1,0,0.0,1.0,0,1,60,285,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,40,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,0.0,0.0,0.0,0.0,0.1110876247110701,0.0,0.0,0.0,0.0,0.0,0,1,0,0
39134,30460076,2,52.0,1.0,0.0,1.0,0,3,2,137.5,0,1,30460076_2,1,1,1,1,0,0,0.0,1.0,1,2,63,825,0,33,33,0,0,0,825,30,855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
16915,30197097,2,21.0,0.0,0.0,1.0,0,2,2,30.0,0,1,30197097_2,0,1,0,0,1,0,0.0,1.0,1,2,55,895,80,25,105,0,0,0,560,15,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,15,270,0,0,0,0,0,0,0,0,0,0,0,0,595,0.0,0.0,0.0,0.0,0.0,0.1624991417362646,0.0,0.0,0.0,0.0,0,1,0,0
85196,40732542,1,26.0,0.0,1.0,1.0,0,2,2,42.5,0,1,40732542_1,0,1,1,0,1,0,0.0,1.0,1,2,76,599,0,30,30,0,0,0,519,21,540,0,0,0,80,25,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795,0.0,0.0538753807828545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
30807,30361509,1,69.0,0.0,0.0,1.0,1,2,2,137.5,0,1,30361509_1,0,1,1,1,1,0,0.0,1.0,1,2,185,435,50,50,100,0,0,0,195,10,205,0,0,0,80,15,95,0,0,0,80,30,110,0,0,0,0,0,0,0,0,0,0,0,0,30,80,110,0,0,0,920,0.0,0.0426782149036764,0.0,0.0490493973596169,0.0,0.0,0.0,0.0,0.0490493973596169,0.0,0,0,0,0
52588,40101037,2,44.0,0.0,0.0,1.0,1,5,2,137.5,0,1,40101037_2,1,1,1,1,1,0,0.0,1.0,1,2,110,650,0,35,35,0,0,0,620,55,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,50,0,0,0,0,0,0,715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029355393352537,0.0,0.0,0,0,1,0
83485,40700517,1,74.0,0.0,0.0,1.0,0,1,1,20.0,0,1,40700517_1,0,1,0,1,1,0,0.0,1.0,1,1,140,340,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,20,330,70,400,0,0,0,1020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084331675368627,0.1436881726211389,0.0,0,0,0,0
72089,40477793,1,23.0,0.0,0.0,1.0,0,2,2,42.5,0,1,40477793_1,0,1,1,0,1,0,0.0,1.0,1,2,40,525,105,15,120,0,0,0,405,15,420,0,0,0,15,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,995,0.0,0.0107770910161921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
11086,30130550,1,55.0,0.0,1.0,1.0,0,2,2,42.5,0,1,30130550_1,0,1,0,1,1,0,0.0,1.0,1,2,75,580,0,40,40,0,0,0,580,35,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
72353,40482921,1,57.0,0.0,0.0,1.0,0,1,1,20.0,0,1,40482921_1,0,1,1,1,1,0,0.0,1.0,1,1,62,620,80,13,93,0,0,0,507,16,523,0,0,0,10,12,22,0,0,0,0,0,0,0,0,0,13,2,15,0,0,0,0,0,0,10,19,29,0,0,0,851,0.0,0.0110846836209818,0.0,0.0,0.0,0.0075883319327588,0.0,0.0,0.0145531120655807,0.0,0,0,0,1
25017,30293177,3,17.0,0.0,1.0,1.0,0,4,3,87.5,0,1,30293177_3,0,1,0,1,1,0,0.0,1.0,0,3,35,360,15,15,30,0,0,0,240,10,250,0,0,0,0,0,0,104,6,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,1075,0.0,0.0,0.0423098860944985,0.0,0.0,0.0,0.0,0.0,0.0,0.0020152912353256,1,0,0,0
25754,30302556,1,37.0,1.0,0.0,1.0,0,2,2,87.5,0,1,30302556_1,0,1,1,1,0,0,0.0,1.0,1,2,100,445,0,10,10,0,0,0,430,50,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,20,0,0,0,5,30,35,905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0094931535338292,0.0,0.0164792743944953,0,0,1,0
3511,30040129,3,49.0,1.0,1.0,3.0,0,3,2,30.0,0,1,30040129_3,0,1,0,1,0,0,1.0,0.0,0,2,50,520,350,25,375,0,0,0,0,0,0,0,0,0,15,5,20,0,0,0,0,0,0,0,0,0,150,10,160,0,0,0,5,10,15,0,0,0,0,0,0,1245,0.0,0.0069211740800815,0.0,0.0,0.0,0.0525069728093435,0.0,0.0052011936858077,0.0,0.0,0,0,1,0
12895,30150903,1,57.0,1.0,1.0,1.0,0,2,0,7.5,0,1,30150903_1,0,1,1,0,0,0,0.0,1.0,1,0,95,475,0,20,20,0,0,0,465,15,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,60,70,0,0,0,890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0328812263946556,0.0,0,0,0,1
50869,40067354,2,56.0,0.0,0.0,1.0,0,4,4,250.0,1,1,40067354_2,0,1,1,1,1,0,0.0,1.0,1,3,85,830,30,25,55,0,0,0,540,20,560,0,0,0,0,0,0,0,0,0,110,10,120,0,0,0,0,0,0,0,0,0,150,30,180,0,0,0,0,0,0,580,0.0,0.0,0.0,0.0816700464513195,0.0,0.0,0.0,0.117385598717854,0.0,0.0,0,0,0,1
